,Energy Deposited,SiPM Hits,Photons,x_pos,y_pos,z_pos,LCE,log(LCE),Distance
82849,0.452784,121,3591,-0.2527976377952756,-0.49465748031496065,1.451562992125984,0.03369534948482317,-3.390395448629342,1.55422900134316
82853,0.5114029999999999,3,4034,0.28675944881889764,-0.4756692913385827,5.110893700787401,0.0007436787307882995,-7.203901429846048,5.140984990929055
82863,0.453214,1,3469,-0.09119251968503937,0.12403700787401577,7.031838582677166,0.0002882675122513693,-8.15162164696975,7.033523662275975
82866,0.47215799999999997,120,3756,0.5638937007874016,-0.2783007874015748,1.0349527559055114,0.03194888178913738,-3.4436180975461075,1.211013889686019
82874,0.521832,16,4234,0.0023179251968503943,-0.317642125984252,5.418299212598425,0.003778932451582428,-5.578313729455029,5.427602440324985
82879,0.493525,2,3999,0.3713106299212598,0.4342834645669291,6.793751968503937,0.0005001250312578145,-7.600652428286873,6.817737126132093
82888,0.468372,2,3728,0.011207952755905512,-0.037533070866141736,5.470401574803149,0.000536480686695279,-7.530479995245536,5.470541814045697
82889,0.476463,2,3868,-0.12310944881889765,0.5657322834645669,5.846551181102362,0.000517063081695967,-7.56734567601324,5.875148480352812
82891,0.549525,3,4497,-0.07472165354330709,-0.5047952755905512,6.241291338582677,0.00066711140760507,-7.312553498102598,6.262117786247232
82893,0.515257,5,4181,0.2767586614173228,-0.24031811023622052,5.76246062992126,0.001195886151638364,-6.728867818922465,5.774106048746381
82900,0.47295699999999996,13,3839,0.07141692913385828,0.5021889763779528,4.453240157480315,0.003386298515238343,-5.688017837539261,4.482035480220761
82909,0.47975100000000004,125,3908,0.3953110236220473,0.2898775590551181,1.67257874015748,0.031985670419651994,-3.4424672758603725,1.7429341486894012
82912,0.47863500000000003,36,3993,-0.08991338582677165,0.002309248031496063,2.00592125984252,0.009015777610818933,-4.708779168607111,2.0079367147062945
82914,0.46408900000000003,12,3645,0.2389732283464567,-0.42293307086614174,3.7036488188976375,0.0032921810699588477,-5.716204994654758,3.735370819613557
82927,0.512831,2,4094,0.052360629921259845,0.4362952755905512,6.1139606299212605,0.0004885197850512946,-7.624130585661289,6.129731624410287
82935,0.46622600000000003,7,3861,-0.15907322834645668,-0.07353818897637797,3.9032204724409447,0.001813001813001813,-6.312771347208923,3.9071526990503713
82937,0.47509300000000004,90,3688,0.1004464566929134,-0.35181771653543303,0.5305866141732284,0.02440347071583514,-3.7130299143462193,0.6445055092628595
82940,0.482888,65,3812,0.08536338582677165,0.36541338582677163,1.7046338582677163,0.017051416579223506,-4.071521994878456,1.7454484927759615
82955,0.479508,1,3849,-0.24467913385826773,-0.08679251968503938,7.406712598425196,0.0002598077422707197,-8.255568653283746,7.411261183880206
82965,0.466107,22,3777,0.327786220472441,0.0902984251968504,5.127791338582678,0.005824728620598359,-5.145642869354141,5.139050653960142
82970,0.5193409999999999,30,4057,0.7291929133858268,0.5215472440944882,4.570161417322835,0.007394626571358146,-4.907001681544292,4.6572641339246506
82987,0.47216,57,3769,0.726240157480315,-0.43961023622047246,1.7536496062992126,0.015123374900504112,-4.191513725432586,1.9483246310099958
82990,0.46882700000000005,4,3853,0.18258700787401577,-0.28243188976377953,3.5209566929133858,0.0010381520892810796,-6.870312983506267,3.5369820216070496
82995,0.460552,6,3617,0.44067322834645667,-0.4922913385826772,4.04726968503937,0.0016588332872546309,-6.401640762724043,4.100845712735788
82998,0.45533999999999997,62,3699,0.7533464566929134,0.4113976377952756,1.3654133858267716,0.016761286834279535,-4.0886834067873625,1.612802720232772
82999,0.517983,2,4306,0.4057047244094488,-0.5106535433070866,6.774259842519685,0.00046446818392940084,-7.674617497364363,6.805582985951685
83000,0.49981499999999995,3,3785,0.08437362204724409,0.06464645669291338,6.762377952755906,0.0007926023778071334,-7.14018887720344,6.763213263558933
83010,0.462685,3,3793,-0.025982283464566932,0.5355905511811024,5.374311023622047,0.0007909306617453203,-7.142300253020789,5.40099539864588
83014,0.453766,26,3518,0.18403228346456693,0.527976377952756,2.884763779527559,0.007390562819783968,-4.907551387276022,2.9384501017896185
83015,0.473016,1,3842,0.3679972440944882,-0.4745433070866142,6.147771653543308,0.0002602811035918792,-8.253748343328501,6.1770308098691284
83018,0.48165600000000003,59,3864,-0.028369094488188976,0.317336220472441,0.681791338582677,0.015269151138716356,-4.181920751426689,0.7525599721697747
83019,0.5407569999999999,13,4327,0.185692125984252,0.15689055118110234,3.7312043307086613,0.0030043910330483014,-5.807680382763348,3.7391151317125195
83026,0.49765699999999996,32,4020,0.6459842519685041,0.27167362204724416,2.226468503937008,0.007960199004975124,-4.83330127881334,2.334151710950056
83031,0.474869,4,3759,0.14382086614173228,0.3317425196850394,4.124118503937008,0.0010641127959563714,-6.845613882444288,4.139938523145043
83035,0.457319,4,3587,0.22895629921259847,-0.22094212598425197,4.448448818897638,0.001115137998327293,-6.798777116412392,4.459813146796103
83047,0.5758840000000001,8,4633,-0.15321259842519686,-0.3921338582677166,4.735240157480315,0.0017267429311461256,-6.361518343736813,4.753918637516877
83048,0.45750799999999997,34,3798,-0.04646771653543307,0.04686141732283465,0.635751968503937,0.008952080042127435,-4.71586936675607,0.6391680581585355
83050,0.457715,3,3669,0.39320708661417325,0.2892952755905512,5.263594488188977,0.0008176614881439084,-7.109062135687172,5.286182980708858
83053,0.45702299999999996,32,3681,0.14847874015748033,-0.2807771653543307,1.61857874015748,0.008693289866883998,-4.745203830579294,1.6494480564579599
83055,0.506141,2,3894,0.7374685039370079,-0.01894885826771654,4.639874015748032,0.0005136106831022085,-7.5740450053721995,4.698153864609216
83081,0.451294,31,3672,-0.27228385826771656,0.18401574803149606,2.1776574803149606,0.008442265795206972,-4.774504547255234,2.2023152355120392
83087,0.472289,12,3654,0.6834803149606299,-0.524236220472441,3.5825866141732283,0.003284072249589491,-5.718671087149952,3.6846839489767786
83093,0.525763,91,4109,0.07429960629921259,0.16201377952755905,0.4881338582677161,0.022146507666098807,-3.8100754623665596,0.519657156056134
83095,0.5909449999999999,60,4661,-0.10877637795275592,-0.07497086614173228,2.2331653543307084,0.012872774082814847,-4.35264073415064,2.2370696079812897
